Name,Rarity,Type,SubType,Attunement,Notes
Uncommon Glamerweave,Uncommon,Wondrous Item,No SubType,Not Required,"['Bonus: Performance', 'Bonus: Persuasion']"

Universal Solvent,Legendary,Wondrous Item,No SubType,Not Required,"['Utility', 'Consumable']"

Ventilating Lungs,Rare,Wondrous Item,No SubType,Required,['Advantage: Saving Throws']

Verminshroud,Legendary,Wondrous Item,No SubType,Required,"['Advantage: Perception', 'Sense: Darkvision', 'Immunity: Disease']"

Veteran�s Cane,Common,Wondrous Item,No SubType,Not Required,['Utility']

"Vicious Rapier, +1",Rare,Weapon,Rapier,Not Required,"['Damage: Additional', 'Bonus: Magic', 'Damage', 'Combat', 'Finesse']"

Vicious Weapon,Rare,Weapon,No SubType,Not Required,"['Damage: Additional', 'Damage', 'Combat']"

Vorpal Sword,Legendary,Weapon,No SubType,Required,"['Bonus: Magic', 'Damage', 'Combat']"

Voting Kit,Common,Wondrous Item,No SubType,Not Required,['']

Vox Seeker,Common,Wondrous Item,No SubType,Not Required,['']

Voyager Staff,Very Rare,Staff,No SubType,Required,"['Bonus: Magic', 'Bonus: Spell Attacks', 'spellcaster']"

Walloping Ammunition,Common,Weapon,Blowgun,Not Required,"['Ammunition', 'Loading', 'Range']"

Wand of Binding,Rare,Wand,No SubType,Required,"['Advantage: Saving Throws', 'Advantage: Acrobatics', 'Advantage: Athletics', 'Spellcaster', 'Control', 'Buff']"

Wand of Conducting,Common,Wand,No SubType,Not Required,['Social']

Wand of Enemy Detection,Rare,Wand,No SubType,Required,['Detection']

Wand of Entangle,Uncommon,Wand,No SubType,Required,"['spellcaster', 'Control', 'Debuff']"

Wand of Fear,Rare,Wand,No SubType,Required,"['Frightened', 'Control']"

Wand of Fireballs,Rare,Wand,No SubType,Required,"['Spellcaster', 'Damage', 'Combat']"

Wand of Lightning Bolts,Rare,Wand,No SubType,Required,"['Spellcaster', 'Damage', 'Combat']"

Wand of Magic Detection,Uncommon,Wand,No SubType,Not Required,['Detection']

Wand of Magic Missiles,Uncommon,Wand,No SubType,Not Required,"['Damage', 'Combat']"

Wand of Orcus,Artifact,Weapon,Mace,Required,"['Bonus: Magic', 'Damage: Necrotic', 'Bonus: Armor Class', 'Summoning', 'Damage', 'Buff', 'Debuff', 'Utility', 'Combat', 'Cursed']"

Wand of Paralysis,Rare,Wand,No SubType,Required,"['Paralyzed', 'Spellcaster', 'Control', 'Debuff']"

Wand of Polymorph,Very Rare,Wand,No SubType,Required,"['Spellcaster', 'Control', 'Shapechanging']"

Wand of Pyrotechnics,Common,Wand,No SubType,Not Required,['Social']

Wand of Scowls,Common,Wand,No SubType,Not Required,['Social']

Wand of Secrets,Uncommon,Wand,No SubType,Not Required,['Detection']

Wand of Smiles,Common,Wand,No SubType,Not Required,['Social']

Wand of the War Mage,Varies,Wand,No SubType,Required,"['Bonus: Spell Attacks', 'Spellcaster', 'Buff', 'Combat']"

Wand of Viscid Globs,Rare,Wand,No SubType,Required,"['Restrained', 'Control', 'Debuff']"

Wand of Web,Uncommon,Wand,No SubType,Required,"['Spellcaster', 'Control']"

Wand of Winter,Rare,Wand,No SubType,Required,"['Damage', 'Control']"

Wand of Wonder,Rare,Wand,No SubType,Required,"['Petrified', 'Spellcaster', 'Damage', 'Control', 'Utility', 'Combat', 'Deception']"

Wand Sheath,Common,Wondrous Item,No SubType,Required,"['Warforged', 'Utility']"

Watchful Helm,Very Rare,Wondrous Item,No SubType,Required,"['Bonus: Armor Class', 'Advantage: Perception', 'Bonus: Passive Perception']"

Wave,Legendary,Weapon,Trident,Required,"['Bonus: Magic', 'Advantage: Initiative', 'Creature that Worships a God of the Sea', 'Damage', 'Buff', 'Utility', 'Combat', 'Sentient', 'Thrown', 'Versatile']"

Waythe,Legendary,Weapon,Greatsword,Required,"['Bonus: Magic', 'Damage', 'Buff', 'Combat', 'Sentient', 'Heavy', 'Two-Handed']"

Weapon of Certain Death,Rare,Weapon,No SubType,Not Required,['']

Weapon of Warning,Uncommon,Weapon,No SubType,Required,"['Advantage: Initiative', 'Damage', 'Detection', 'Combat']"

"Weapon, +1",Uncommon,Weapon,No SubType,Not Required,"['Bonus: Magic', 'Damage', 'Combat']"

"Weapon, +2",Rare,Weapon,No SubType,Not Required,"['Bonus: Magic', 'Damage', 'Combat']"

"Weapon, +3",Very Rare,Weapon,No SubType,Not Required,"['Bonus: Magic', 'Damage', 'Combat']"

Weird Tank,Rare,Wondrous Item,No SubType,Required,['Summoning']

Well of Many Worlds,Legendary,Wondrous Item,No SubType,Not Required,['Teleportation']

Wheel of Stars,Very Rare,Wondrous Item,No SubType,Required,['Bonus: Wisdom Saving Throws']

Wheel of Wind and Water,Uncommon,Wondrous Item,No SubType,Not Required,['']

Whelm,Legendary,Weapon,Warhammer,Required,"['Bonus: Magic', 'dwarf', 'Damage', 'Buff', 'Debuff', 'Combat', 'Sentient', 'Versatile']"

Whisper Jar,Varies,Wondrous Item,No SubType,Not Required,['']

White Dragon Mask,Legendary,Wondrous Item,No SubType,Required,"['Resistance: Cold', 'Bonus: Unarmored Armor Class', 'Sense: Darkvision', 'Sense: Blindsight', 'Language: Draconic', 'Advantage: Charisma Ability Checks', 'Buff']"

Will of the Talon,Artifact,Weapon,War Pick,Required,"['Language: Draconic', 'Language: Infernal', 'Bonus: Magic']"

Wind Fan,Uncommon,Wondrous Item,No SubType,Not Required,['Control']

Windvane,Legendary,Weapon,Spear,Required,"['Bonus: Magic', 'Weapon Property: Finesse', 'Damage: Lightning', 'Language: Auran', 'Resistance: Lightning', 'Damage', 'Buff', 'Combat', 'Thrown', 'Versatile']"

Winged Boots,Uncommon,Wondrous Item,No SubType,Required,"['Set: Innate Speed (Flying)', 'Movement', 'Footwear']"

Wings of Flying,Rare,Wondrous Item,No SubType,Required,"['Set: Innate Speed (Flying)', 'Movement', 'Outerwear']"

Wingwear,Uncommon,Wondrous Item,No SubType,Required,"['Set: Innate Speed (Flying)', 'Movement']"

Winter�s Dark Bite,Uncommon,Weapon,Greatsword,Not Required,"['Bonus: Magic', 'Damage', 'Combat', 'Heavy', 'Two-Handed']"

Witchlight Vane,Legendary,Wondrous Item,Mace,Required,"['Vulnerability: Lightning', 'Immunity: Blinded', 'Immunity: Deafened', 'Immunity: Petrified', 'Immunity: Stunned', 'Bonus: Magic', 'Mister Light or His Handpicked Successor']"

Witchlight Watch,Legendary,Wondrous Item,No SubType,Required,['Mister Witch or His Handpicked Successor']

Witherbloom Primer,Uncommon,Wondrous Item,No SubType,Required,"['Bonus: Nature', 'Bonus: Survival', 'spellcaster']"

Woodcutter's Axe,Rare,Weapon,Greataxe,Not Required,"['Bonus: Magic', 'Damage: Slashing', 'Heavy', 'Two-Handed']"

Wreath of the Prism,Legendary,Wondrous Item,No SubType,Required,['Set Base: Darkvision']

Wyrmskull Throne,Artifact,Wondrous Item,No SubType,Not Required,"['Set: Innate Speed (Flying)', 'Damage', 'Movement', 'Warding']"

Xorian Wenge Focus,Common,Wondrous Item,No SubType,Required,"['Combat', 'Focus']"

"Yklwa, +1",Uncommon,Weapon,Yklwa,Not Required,"['Bonus: Magic', 'Damage', 'Combat', 'Thrown']"

"Yklwa, +2",Rare,Weapon,Yklwa,Not Required,"['Bonus: Magic', 'Damage', 'Combat', 'Thrown']"

"Yklwa, +3",Very Rare,Weapon,Yklwa,Not Required,"['Bonus: Magic', 'Damage', 'Combat', 'Thrown']"

Ythryn Mythallar,Legendary,Wondrous Item,No SubType,Required,"['spellcaster', 'Control']"

